Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count
Tunisia,G,13,MF,Ferjani Sassi,1992/03/18,26,38,3,Al-Nassr,1
Tunisia,G,14,MF,Mohamed Amine Ben Amor,1992/05/03,26,25,1,Al-Ahli,1
Tunisia,G,15,FW,Ahmed Khalil,1994/12/21,23,3,0,Club Africain,1
Tunisia,G,16,GK,Aymen Mathlouthi (captain),1984/09/14,33,69,0,Al-Batin,1
Tunisia,G,17,MF,Ellyes Skhiri,1995/05/10,23,4,0,Montpellier,1
Tunisia,G,18,FW,Bassem Srarfi,1997/06/25,20,4,0,Nice,1
Tunisia,G,19,FW,Saber Khalifa,1986/10/14,31,43,7,Club Africain,1
Tunisia,G,20,FW,Ghailene Chaalali,1994/02/28,24,6,1,Espérance,1
Tunisia,G,21,DF,Hamdi Nagguez,1992/10/28,25,15,0,Zamalek,1
Tunisia,G,22,GK,Mouez Hassen,1995/03/05,23,3,0,Châteauroux,1
Tunisia,G,23,FW,Naïm Sliti,1992/07/27,25,16,3,Dijon,1
Colombia,H,1,GK,David Ospina,1988/08/31,29,86,0,Arsenal,1
Colombia,H,2,DF,Cristián Zapata,1986/09/30,31,55,2,Milan,1
Colombia,H,3,DF,Óscar Murillo,1988/04/18,30,13,0,Pachuca,1
Colombia,H,4,DF,Santiago Arias,1992/01/13,26,41,0,PSV Eindhoven,1
Colombia,H,5,MF,Wílmar Barrios,1993/10/16,24,10,0,Boca Juniors,1
Colombia,H,6,MF,Carlos Sánchez,1986/02/06,32,85,0,Espanyol,1
Colombia,H,7,FW,Carlos Bacca,1986/09/08,31,45,14,Villarreal,1
Colombia,H,8,MF,Abel Aguilar,1985/01/06,33,70,7,Deportivo Cali,1
Colombia,H,9,FW,Radamel Falcao (captain),1986/02/10,32,73,29,Monaco,1
Colombia,H,10,MF,James Rodríguez,1991/07/12,26,63,21,Bayern Munich,1
Colombia,H,11,MF,Juan Cuadrado,1988/05/26,30,70,7,Juventus,1
Colombia,H,12,GK,Camilo Vargas,1989/03/09,29,5,0,Deportivo Cali,1
Colombia,H,13,DF,Yerry Mina,1994/09/23,23,12,3,Barcelona,1
Colombia,H,14,FW,Luis Muriel,1991/04/16,27,18,2,Sevilla,1
Colombia,H,15,MF,Mateus Uribe,1991/03/21,27,8,0,América,1
Colombia,H,16,MF,Jefferson Lerma,1994/10/25,23,5,0,Levante,1
Colombia,H,17,DF,Johan Mojica,1992/08/21,25,4,1,Girona,1
Colombia,H,18,DF,Frank Fabra,1991/02/22,27,19,1,Boca Juniors,1
Colombia,H,19,FW,Miguel Borja,1993/01/26,25,7,2,Palmeiras,1
Colombia,H,20,MF,Juan Fernando Quintero,1993/01/18,25,15,2,River Plate,1
Colombia,H,21,FW,José Izquierdo,1992/07/07,25,5,1,Brighton & Hove Albion,1
Colombia,H,22,GK,José Fernando Cuadrado,1985/06/01,33,1,0,Once Caldas,1
Colombia,H,23,DF,Dávinson Sánchez,1996/06/12,21,9,0,Tottenham Hotspur,1
Japan,H,1,GK,Eiji Kawashima,1983/03/20,35,83,0,Metz,1
Japan,H,2,DF,Naomichi Ueda,1994/10/24,23,3,0,Kashima Antlers,1
Japan,H,3,DF,Gen Shoji,1992/12/11,25,10,1,Kashima Antlers,1
Japan,H,4,MF,Keisuke Honda,1986/06/13,31,94,36,Pachuca,1
Japan,H,5,DF,Yuto Nagatomo,1986/09/12,31,104,3,Galatasaray,1
Japan,H,6,DF,Wataru Endo,1993/02/09,25,11,0,Urawa Red Diamonds,1
Japan,H,7,MF,Gaku Shibasaki,1992/05/28,26,16,3,Getafe,1
Japan,H,8,MF,Genki Haraguchi,1991/05/09,27,31,6,Fortuna Düsseldorf,1
Japan,H,9,FW,Shinji Okazaki,1986/04/16,32,112,50,Leicester City,1
Japan,H,10,MF,Shinji Kagawa,1989/03/17,29,90,29,Borussia Dortmund,1
Japan,H,11,MF,Takashi Usami,1992/05/06,26,22,3,Fortuna Düsseldorf,1
Japan,H,12,GK,Masaaki Higashiguchi,1986/05/12,32,4,0,Gamba Osaka,1
Japan,H,13,FW,Yoshinori Mutō,1992/07/15,25,22,2,Mainz 05,1
Japan,H,14,MF,Takashi Inui,1988/06/02,30,25,2,Eibar,1
Japan,H,15,FW,Yuya Osako,1990/05/18,28,27,7,1. FC Köln,1
Japan,H,16,MF,Hotaru Yamaguchi,1990/10/06,27,41,2,Cerezo Osaka,1
Japan,H,17,MF,Makoto Hasebe (captain),1984/01/18,34,109,2,Eintracht Frankfurt,1
Japan,H,18,MF,Ryota Oshima,1993/01/23,25,4,0,Kawasaki Frontale,1
Japan,H,19,DF,Hiroki Sakai,1990/04/12,28,41,0,Marseille,1
Japan,H,20,DF,Tomoaki Makino,1987/05/11,31,31,4,Urawa Red Diamonds,1
Japan,H,21,DF,Gōtoku Sakai,1991/03/14,27,39,0,Hamburger SV,1
Japan,H,22,DF,Maya Yoshida,1988/08/24,29,81,10,Southampton,1
Japan,H,23,GK,Kosuke Nakamura,1995/02/27,23,3,0,Kashiwa Reysol,1
Poland,H,1,GK,Wojciech Szczęsny,1990/04/18,28,33,0,Juventus,1
Poland,H,2,DF,Michał Pazdan,1987/09/21,30,31,0,Legia Warsaw,1
Poland,H,3,DF,Artur Jędrzejczyk,1987/11/04,30,35,3,Legia Warsaw,1
Poland,H,4,DF,Thiago Cionek,1986/04/21,32,17,0,SPAL,1
Poland,H,5,DF,Jan Bednarek,1996/04/12,22,1,0,Southampton,1
Poland,H,6,MF,Jacek Góralski,1992/09/21,25,3,0,Ludogorets Razgrad,1
Poland,H,7,FW,Arkadiusz Milik,1994/02/28,24,38,12,Napoli,1
Poland,H,8,MF,Karol Linetty,1995/02/02,23,19,1,Sampdoria,1
Poland,H,9,FW,Robert Lewandowski (captain),1988/08/21,29,93,52,Bayern Munich,1
Poland,H,10,MF,Grzegorz Krychowiak,1990/01/29,28,49,2,West Bromwich Albion,1
Poland,H,11,MF,Kamil Grosicki,1988/06/08,29,56,12,Hull City,1
Poland,H,12,GK,Bartosz Białkowski,1987/07/06,30,1,0,Ipswich Town,1
Poland,H,13,MF,Maciej Rybus,1989/08/19,28,49,2,Lokomotiv Moscow,1
Poland,H,14,FW,Łukasz Teodorczyk,1991/06/03,27,15,4,Anderlecht,1
Poland,H,15,DF,Kamil Glik,1988/02/03,30,57,4,Monaco,1
Poland,H,16,MF,Jakub Błaszczykowski,1985/12/14,32,97,19,VfL Wolfsburg,1
Poland,H,17,MF,Sławomir Peszko,1985/02/19,33,43,2,Lechia Gdańsk,1
Poland,H,18,DF,Bartosz Bereszyński,1992/07/12,25,6,0,Sampdoria,1
Poland,H,19,MF,Piotr Zieliński,1994/05/20,24,31,4,Napoli,1
Poland,H,20,DF,Łukasz Piszczek,1985/06/03,33,61,3,Borussia Dortmund,1
Poland,H,21,MF,Rafał Kurzawa,1993/01/29,25,3,0,Górnik Zabrze,1
Poland,H,22,GK,Łukasz Fabiański,1985/04/18,33,43,0,Swansea City,1
Poland,H,23,FW,Dawid Kownacki,1997/03/14,21,1,0,Sampdoria,1
Senegal,H,1,GK,Abdoulaye Diallo,1992/03/30,26,16,0,Rennes,1
Senegal,H,2,DF,Saliou Ciss,1989/06/15,28,18,0,Valenciennes,1
Senegal,H,3,DF,Kalidou Koulibaly,1991/06/20,26,24,0,Napoli,1
Senegal,H,4,DF,Kara Mbodji,1989/11/22,28,51,5,Anderlecht,1
Senegal,H,5,MF,Idrissa Gueye,1989/09/26,28,59,1,Everton,1
Senegal,H,6,MF,Salif Sané,1990/08/25,27,20,0,Hannover 96,1
Senegal,H,7,FW,Moussa Sow,1986/01/19,32,50,18,Bursaspor,1
Senegal,H,8,MF,Cheikhou Kouyaté (captain),1989/12/21,28,47,2,West Ham United,1
Senegal,H,9,FW,Mame Biram Diouf,1987/12/16,30,47,10,Stoke City,1
Senegal,H,10,FW,Sadio Mané,1992/04/10,26,51,14,Liverpool,1
Senegal,H,11,MF,"Cheikh N'Doye",1986/03/29,32,24,3,Birmingham City,1
Senegal,H,12,DF,Youssouf Sabaly,1993/03/05,25,3,0,Bordeaux,1
Senegal,H,13,MF,"Alfred N'Diaye",1990/03/06,28,19,0,Wolverhampton Wanderers,1
Senegal,H,14,FW,Moussa Konaté,1993/04/03,25,27,9,Amiens,1
Senegal,H,15,FW,Diafra Sakho,1989/12/24,28,10,3,Rennes,1
Senegal,H,16,GK,"Khadim N'Diaye",1985/04/05,33,25,0,Horoya,1
Senegal,H,17,MF,Badou Ndiaye,1990/10/27,27,18,1,Stoke City,1
Senegal,H,18,FW,Ismaïla Sarr,1998/02/25,20,14,2,Rennes,1
Senegal,H,19,FW,"M'Baye Niang",1994/12/19,23,5,0,Torino,1
Senegal,H,20,FW,Keita Baldé,1995/03/08,23,17,3,Monaco,1
Senegal,H,21,DF,Lamine Gassama,1989/10/20,28,35,0,Alanyaspor,1
Senegal,H,22,DF,Moussa Wagué,1998/10/04,19,9,0,Eupen,1
Senegal,H,23,GK,Alfred Gomis,1993/09/05,24,1,0,SPAL,1
